service_name,interface,rate_bps_in,rate_bps_out,rate_pps_in,rate_pps_out,mac,vrf,proto,status,src_ip,address,commands,ping_test,ping_result,exec_time
**Connected to KAWS0016CIBE001 Bundle-Ether10**,Bundle-Ether10,84000,60000,109,68,08ec.f548.baac,default,Up,Up,10.205.198.66,10.205.198.65,ping 10.205.198.65 source 10.205.198.66,"{
    ""destination"": ""10.205.198.65"",
    ""response_stream"": ""!!!!!"",
    ""rtt_avg"": ""1"",
    ""rtt_max"": ""2"",
    ""rtt_min"": ""1"",
    ""sent_qty"": ""5"",
    ""sent_type"": ""100-byte ICMP Echos"",
    ""success_pct"": ""100"",
    ""success_qty"": ""5"",
    ""timeout"": ""2""
}",Ping Success,"Thu Apr  1 00:49:43.436 PHT
00:49:43.598 PHT Thu Apr 1 2021"
**Connected to MKTG3610CIBP002 Bundle-Ether 51,Bundle-Ether31,24967000,129000,2330,46,d46a.3527.4490,default,Up,Up,10.205.195.73,10.205.195.74,ping 10.205.195.74 source 10.205.195.73,"{
    ""destination"": ""10.205.195.74"",
    ""response_stream"": ""!!!!!"",
    ""rtt_avg"": ""1"",
    ""rtt_max"": ""2"",
    ""rtt_min"": ""1"",
    ""sent_qty"": ""5"",
    ""sent_type"": ""100-byte ICMP Echos"",
    ""success_pct"": ""100"",
    ""success_qty"": ""5"",
    ""timeout"": ""2""
}",Ping Success,"Thu Apr  1 00:49:46.078 PHT
00:49:46.240 PHT Thu Apr 1 2021"
**Connected to SPC00E67CIBP001 Bundle-Ether47**,Bundle-Ether32,35000,23000,25,25,d46a.350f.fc94,default,Up,Up,10.205.195.77,10.205.195.78,ping 10.205.195.78 source 10.205.195.77,"{
    ""destination"": ""10.205.195.78"",
    ""response_stream"": ""!!!!!"",
    ""rtt_avg"": ""1"",
    ""rtt_max"": ""3"",
    ""rtt_min"": ""1"",
    ""sent_qty"": ""5"",
    ""sent_type"": ""100-byte ICMP Echos"",
    ""success_pct"": ""100"",
    ""success_qty"": ""5"",
    ""timeout"": ""2""
}",Ping Success,"Thu Apr  1 00:49:48.745 PHT
00:49:48.910 PHT Thu Apr 1 2021"
**Connected to SILS0012CICN001 Bundle-Ether101**,Bundle-Ether102,43000,43000,67,67,d46a.3556.0e41,default,Up,Up,10.205.236.214,10.205.236.213,ping 10.205.236.213 source 10.205.236.214,"{
    ""destination"": ""10.205.236.213"",
    ""response_stream"": ""!!!!!"",
    ""rtt_avg"": ""1"",
    ""rtt_max"": ""3"",
    ""rtt_min"": ""1"",
    ""sent_qty"": ""5"",
    ""sent_type"": ""100-byte ICMP Echos"",
    ""success_pct"": ""100"",
    ""success_qty"": ""5"",
    ""timeout"": ""2""
}",Ping Success,"Thu Apr  1 00:49:51.424 PHT
00:49:51.589 PHT Thu Apr 1 2021"
**Connected to SILS0012CICN001 Bundle-Ether101**,Bundle-Ether102,43000,43000,67,67,d46a.3556.0e41,default,Up,Up,10.205.236.214,10.205.236.213,ping 10.205.236.213 source 10.205.236.214,"{
    ""destination"": ""10.205.236.213"",
    ""response_stream"": ""!!!!!"",
    ""rtt_avg"": ""1"",
    ""rtt_max"": ""3"",
    ""rtt_min"": ""1"",
    ""sent_qty"": ""5"",
    ""sent_type"": ""100-byte ICMP Echos"",
    ""success_pct"": ""100"",
    ""success_qty"": ""5"",
    ""timeout"": ""2""
}",Ping Success,"Thu Apr  1 00:49:51.424 PHT
00:49:51.589 PHT Thu Apr 1 2021"
**Connected to IMUS3559CICN001 Bundle-Ether102**,Bundle-Ether105,43000,44000,67,67,0032.17ae.da41,default,Up,Up,10.205.226.214,10.205.226.213,ping 10.205.226.213 source 10.205.226.214,"{
    ""destination"": ""10.205.226.213"",
    ""response_stream"": ""!!!!!"",
    ""rtt_avg"": ""1"",
    ""rtt_max"": ""2"",
    ""rtt_min"": ""1"",
    ""sent_qty"": ""5"",
    ""sent_type"": ""100-byte ICMP Echos"",
    ""success_pct"": ""100"",
    ""success_qty"": ""5"",
    ""timeout"": ""2""
}",Ping Success,"Thu Apr  1 00:49:54.388 PHT
00:49:54.554 PHT Thu Apr 1 2021"
**Connected to BCR00S33CICN001 Bundle-Ether102**,Bundle-Ether109,42000,43000,67,67,0032.17ae.ee42,default,Up,Up,10.205.227.22,10.205.227.21,ping 10.205.227.21 source 10.205.227.22,"{
    ""destination"": ""10.205.227.21"",
    ""response_stream"": ""!!!!!"",
    ""rtt_avg"": ""1"",
    ""rtt_max"": ""2"",
    ""rtt_min"": ""1"",
    ""sent_qty"": ""5"",
    ""sent_type"": ""100-byte ICMP Echos"",
    ""success_pct"": ""100"",
    ""success_qty"": ""5"",
    ""timeout"": ""2""
}",Ping Success,"Thu Apr  1 00:49:57.087 PHT
00:49:57.250 PHT Thu Apr 1 2021"
**Connected to BCR00S33CICN002 Bundle-Ether102**,Bundle-Ether110,43000,43000,67,67,0032.17d9.6e42,default,Up,Up,10.205.227.30,10.205.227.29,ping 10.205.227.29 source 10.205.227.30,"{
    ""destination"": ""10.205.227.29"",
    ""response_stream"": ""!!!!!"",
    ""rtt_avg"": ""1"",
    ""rtt_max"": ""3"",
    ""rtt_min"": ""1"",
    ""sent_qty"": ""5"",
    ""sent_type"": ""100-byte ICMP Echos"",
    ""success_pct"": ""100"",
    ""success_qty"": ""5"",
    ""timeout"": ""2""
}",Ping Success,"Thu Apr  1 00:49:59.769 PHT
00:49:59.935 PHT Thu Apr 1 2021"
**Connected to IDGS0097CICN001 Bundle-Ether101**,Bundle-Ether111,42000,43000,67,67,0032.17d9.4642,default,Up,Up,10.205.234.206,10.205.234.205,ping 10.205.234.205 source 10.205.234.206,"{
    ""destination"": ""10.205.234.205"",
    ""response_stream"": ""!!!!!"",
    ""rtt_avg"": ""1"",
    ""rtt_max"": ""2"",
    ""rtt_min"": ""1"",
    ""sent_qty"": ""5"",
    ""sent_type"": ""100-byte ICMP Echos"",
    ""success_pct"": ""100"",
    ""success_qty"": ""5"",
    ""timeout"": ""2""
}",Ping Success,"Thu Apr  1 00:50:02.999 PHT
00:50:03.178 PHT Thu Apr 1 2021"
**Connected to TMSPXTMCCICN002 Bundle-Ether101**,Bundle-Ether116,44000,42000,67,67,0032.17ae.ca42,default,Up,Up,10.205.236.234,10.205.236.233,ping 10.205.236.233 source 10.205.236.234,"{
    ""destination"": ""10.205.236.233"",
    ""response_stream"": ""!!!!!"",
    ""rtt_avg"": ""1"",
    ""rtt_max"": ""2"",
    ""rtt_min"": ""1"",
    ""sent_qty"": ""5"",
    ""sent_type"": ""100-byte ICMP Echos"",
    ""success_pct"": ""100"",
    ""success_qty"": ""5"",
    ""timeout"": ""2""
}",Ping Success,"Thu Apr  1 00:50:05.771 PHT
00:50:05.934 PHT Thu Apr 1 2021"
**Connected to KAWS0016CICU001 Bundle-Ether252**,Bundle-Ether251,9973000,152529000,9507,14751,d46a.3529.b484,default,Up,Up,10.205.232.218,10.205.232.217,ping 10.205.232.217 source 10.205.232.218,"{
    ""destination"": ""10.205.232.217"",
    ""response_stream"": ""!!!!!"",
    ""rtt_avg"": ""1"",
    ""rtt_max"": ""2"",
    ""rtt_min"": ""1"",
    ""sent_qty"": ""5"",
    ""sent_type"": ""100-byte ICMP Echos"",
    ""success_pct"": ""100"",
    ""success_qty"": ""5"",
    ""timeout"": ""2""
}",Ping Success,"Thu Apr  1 00:50:08.408 PHT
00:50:08.571 PHT Thu Apr 1 2021"
**Connected to RSCS0075CICU001 Bundle-Ether252**,Bundle-Ether253,288916000,2062404000,130229,218111,0032.17c7.f243,default,Up,Up,10.205.234.202,10.205.234.201,ping 10.205.234.201 source 10.205.234.202,"{
    ""destination"": ""10.205.234.201"",
    ""response_stream"": ""!!!!!"",
    ""rtt_avg"": ""1"",
    ""rtt_max"": ""2"",
    ""rtt_min"": ""1"",
    ""sent_qty"": ""5"",
    ""sent_type"": ""100-byte ICMP Echos"",
    ""success_pct"": ""100"",
    ""success_qty"": ""5"",
    ""timeout"": ""2""
}",Ping Success,"Thu Apr  1 00:50:11.177 PHT
00:50:11.342 PHT Thu Apr 1 2021"
"**Connected to ROS00Q98CICN001 via S0075 F133,F134**",Bundle-Ether700,51000,73000,84,125,9ce1.7696.9a43,default,Up,Up,10.205.150.13,10.205.150.14,ping 10.205.150.14 source 10.205.150.13,"{
    ""destination"": ""10.205.150.14"",
    ""response_stream"": ""!!!!!"",
    ""rtt_avg"": ""1"",
    ""rtt_max"": ""2"",
    ""rtt_min"": ""1"",
    ""sent_qty"": ""5"",
    ""sent_type"": ""100-byte ICMP Echos"",
    ""success_pct"": ""100"",
    ""success_qty"": ""5"",
    ""timeout"": ""2""
}",Ping Success,"Thu Apr  1 00:50:13.844 PHT
00:50:14.007 PHT Thu Apr 1 2021"
