intf,ipaddr,proto,status,vrf
BVI50011025,7.240.0.1,Up,Up,IPR30076_IPTV
BVI100021025,100.1.64.1,Up,Up,IPR30076_IPTV
BVI100022024,101.1.64.1,Up,Up,IPR30903_FTTH_VoIP_Prod
BVI100031025,100.1.128.1,Up,Up,IPR30076_IPTV
BVI100032024,101.1.128.1,Up,Up,IPR30903_FTTH_VoIP_Prod
BVI100041025,100.1.192.1,Up,Up,IPR30076_IPTV
BVI100042024,101.1.192.1,Up,Up,IPR30903_FTTH_VoIP_Prod
BVI100051024,101.2.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod
BVI100051025,100.2.0.1,Up,Up,IPR30076_IPTV
Bundle-Ether1001.1001,10.226.94.65,Up,Up,IPR30800_FTTH_NMS
Bundle-Ether1001.1020,10.218.88.1,Up,Up,IPR30903_FTTH_VoIP_Prod
Bundle-Ether1001.1024,101.1.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod
Bundle-Ether1001.1025,100.1.0.1,Up,Up,IPR30076_IPTV
Bundle-Ether1001.1026,172.16.93.1,Up,Up,IPR30076_IPTV
Bundle-Ether1001.1102,10.212.186.93,Up,Up,IPR7066_LIFELNE
Bundle-Ether1001.1103,172.40.3.242,Up,Up,IPR6190_IPTSNCR
Bundle-Ether1001.1104,172.20.5.130,Up,Up,IPR3172_BDO_NET
Bundle-Ether1001.1111,10.212.181.33,Up,Up,IPR3926_BPI03
Bundle-Ether1001.1112,172.20.142.130,Up,Up,IPR3172_BDO_NET
Bundle-Ether1001.1113,10.47.232.233,Up,Up,IPR3175_METBANK
Bundle-Ether1001.1114,10.229.203.169,Up,Up,IPR7966_PITOAXM
Bundle-Ether5001.1026,172.16.5.13,Up,Up,IPR30076_IPTV
Bundle-Ether5001.1601,10.211.47.53,Up,Up,IPR30012_NGNSIG
Bundle-Ether5001.1602,10.211.79.53,Up,Up,IPR30012_NGNSIG
Bundle-Ether5001.1610,10.211.158.105,Up,Up,IPR30044_HUANMS
Bundle-Ether5001.1701,10.228.139.173,Up,Up,IPR3007_BDO
Bundle-Ether5002.1026,172.16.5.17,Up,Up,IPR30076_IPTV
Bundle-Ether5002.1601,10.211.47.57,Up,Up,IPR30012_NGNSIG
Bundle-Ether5002.1602,10.211.79.57,Up,Up,IPR30012_NGNSIG
Bundle-Ether5002.1610,10.211.158.113,Up,Up,IPR30044_HUANMS
Bundle-Ether5002.1702,10.228.139.157,Up,Up,IPR3007_BDO
Bundle-Ether5003.1026,172.16.5.33,Up,Up,IPR30076_IPTV
Bundle-Ether5003.1601,10.211.47.145,Up,Up,IPR30012_NGNSIG
Bundle-Ether5003.1602,10.211.79.145,Up,Up,IPR30012_NGNSIG
Bundle-Ether5003.1610,10.211.159.33,Up,Up,IPR30044_HUANMS
Bundle-Ether5004.1026,172.16.20.73,Up,Up,IPR30076_IPTV
Bundle-Ether5004.1601,10.211.48.37,Up,Up,IPR30012_NGNSIG
Bundle-Ether5004.1602,10.211.80.37,Up,Up,IPR30012_NGNSIG
Bundle-Ether5004.1610,10.211.160.73,Up,Up,IPR30044_HUANMS
Bundle-Ether10002.1026,172.16.27.5,Up,Up,IPR30076_IPTV
Bundle-Ether10002.2001,10.226.55.129,Up,Up,IPR30044_HUANMS
Bundle-Ether10002.2100,10.229.185.209,Up,Up,IPR3200_PURGOLD
Bundle-Ether10002.2102,10.229.203.181,Up,Up,IPR7966_PITOAXM
Bundle-Ether10002.2103,10.229.203.37,Up,Up,IPR7966_PITOAXM
Bundle-Ether10003.1026,172.16.27.25,Up,Up,IPR30076_IPTV
Bundle-Ether10003.2001,10.226.57.129,Up,Up,IPR30044_HUANMS
Bundle-Ether10004.1026,172.16.27.1,Up,Up,IPR30076_IPTV
Bundle-Ether10004.1104,10.229.51.129,Up,Up,IPR3200_PURGOLD
Bundle-Ether10004.1106,172.40.3.210,Up,Up,IPR6190_IPTSNCR
Bundle-Ether10004.1107,172.20.182.130,Up,Up,IPR3172_BDO_NET
Bundle-Ether10004.1109,10.229.89.89,Up,Up,IPR7479_EPTARPI
Bundle-Ether10004.1111,172.19.70.130,Up,Up,IPR3172_BDO_NET
Bundle-Ether10004.1112,172.40.3.214,Up,Up,IPR6190_IPTSNCR
Bundle-Ether10004.1115,10.229.125.177,Up,Up,IPR7723_RUDLINC
Bundle-Ether10004.1116,172.40.3.206,Up,Up,IPR6190_IPTSNCR
Bundle-Ether10004.1119,172.20.0.225,Up,Up,IPR3115_PNB
Bundle-Ether10004.1120,10.229.157.49,Up,Up,IPR7900_HANDINN
Bundle-Ether10004.1144,10.213.168.105,Up,Up,IPR3115_PNB
Bundle-Ether10004.1155,10.229.173.237,Up,Up,IPR3547_PSMT
Bundle-Ether10004.1156,10.229.177.185,Up,Up,IPR7900_HANDINN
Bundle-Ether10004.2001,10.226.36.65,Up,Up,IPR30044_HUANMS
Bundle-Ether10004.2101,10.147.248.213,Up,Up,IPR5426_MBTCDUO
Bundle-Ether10004.2108,10.212.186.81,Up,Up,IPR7060_GRNCRSS
