interface,src_ip,proto,status,vrf,address,age,cpu,flag,mac,state,type
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.10,00:00:13,0/1/CPU0,Dynamic,f03f.952a.ccb8,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.11,00:01:41,0/1/CPU0,Dynamic,6c16.32f0.f6a6,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.12,00:04:56,0/1/CPU0,Dynamic,5413.104c.3f3f,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.13,00:01:54,0/1/CPU0,Dynamic,f03f.952c.022c,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.14,00:00:41,0/1/CPU0,Dynamic,f46f.ed4f.0bf1,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.15,00:00:27,0/1/CPU0,Dynamic,e801.8d66.8281,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.16,00:02:06,0/1/CPU0,Dynamic,5825.7594.4819,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.17,00:01:32,0/1/CPU0,Dynamic,e801.8d5e.eeb9,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.18,00:00:13,0/1/CPU0,Dynamic,0067.629d.dfd9,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.19,00:01:30,0/1/CPU0,Dynamic,1422.33b0.f139,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.20,00:01:40,0/1/CPU0,Dynamic,f46f.ed40.7fe1,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.21,00:04:49,0/1/CPU0,Dynamic,8c68.3af7.3b41,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.22,00:00:42,0/1/CPU0,Dynamic,e801.8dea.f2a1,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.23,00:02:13,0/1/CPU0,Dynamic,e801.8df6.ce51,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.24,00:02:04,0/1/CPU0,Dynamic,e801.8d6a.5851,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.25,00:00:10,0/1/CPU0,Dynamic,1422.33a6.bc61,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.26,00:08:27,0/1/CPU0,Dynamic,5413.104c.8e67,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.27,00:00:32,0/1/CPU0,Dynamic,fca6.cd68.cd99,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.28,00:04:06,0/1/CPU0,Dynamic,10c3.abbb.484c,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.30,00:02:01,0/1/CPU0,Dynamic,f03f.950e.c441,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.31,00:01:34,0/1/CPU0,Dynamic,0067.6204.1e29,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.32,00:01:51,0/1/CPU0,Dynamic,8c68.3af7.36bd,Dynamic,ARPA
BVI100021024,101.13.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,101.13.0.33,00:02:01,0/1/CPU0,Dynamic,8c68.3af9.a411,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.10,00:02:12,0/1/CPU0,Dynamic,7085.40ab.e721,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.11,00:01:30,0/1/CPU0,Dynamic,6c2c.dc00.2820,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.12,00:04:18,0/1/CPU0,Dynamic,0016.6cb6.d24e,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.17,00:00:18,0/1/CPU0,Dynamic,c051.7e4e.6a2d,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.19,00:03:36,0/1/CPU0,Dynamic,2c18.75a1.aecc,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.22,00:01:30,0/1/CPU0,Dynamic,6c2c.dc00.3876,Dynamic,ARPA
BVI100021025,100.13.0.1,Up,Up,IPR30076_IPTV,100.13.0.23,00:04:18,0/1/CPU0,Dynamic,6c2c.dc00.311f,Dynamic,ARPA
