interface,src_ip,proto,status,vrf,address,age,cpu,mac,state,type
srte_c_201_ep_10.205.134.76,10.205.134.69,Up,Up,default,,,,,,
BVI50021025,7.240.1.1,Up,Up,IPR30076_IPTV,,,,,,
BVI50041024,101.11.192.1,Up,Up,IPR30903_FTTH_VoIP_Prod,,,,,,
BVI100011020,10.218.112.1,Up,Up,IPR30903_FTTH_VoIP_Prod,,,,,,
BVI100011024,101.9.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,,,,,,
BVI100011025,100.9.0.1,Up,Up,IPR30076_IPTV,,,,,,
BVI100021024,101.9.64.1,Up,Up,IPR30903_FTTH_VoIP_Prod,,,,,,
BVI100021025,100.9.64.1,Up,Up,IPR30076_IPTV,,,,,,
BVI100031024,101.9.128.1,Up,Up,IPR30903_FTTH_VoIP_Prod,,,,,,
BVI100031025,100.9.128.1,Up,Up,IPR30076_IPTV,,,,,,
BVI100041024,101.9.192.1,Up,Up,IPR30903_FTTH_VoIP_Prod,,,,,,
BVI100041025,100.9.192.1,Up,Up,IPR30076_IPTV,,,,,,
BVI100051024,101.10.0.1,Up,Up,IPR30903_FTTH_VoIP_Prod,,,,,,
BVI100051025,100.10.0.1,Up,Up,IPR30076_IPTV,,,,,,
BVI100061024,101.10.64.1,Up,Up,IPR30903_FTTH_VoIP_Prod,,,,,,
BVI100061025,100.10.64.1,Up,Up,IPR30076_IPTV,,,,,,
Bundle-Ether251,10.205.232.229,Up,Up,default,10.205.232.230,02:08:46,0/0/CPU0,08ec.f55b.9dc1,Dynamic,ARPA
Bundle-Ether252,10.205.232.233,Up,Up,default,10.205.232.234,01:21:09,0/1/CPU0,08ec.f55c.f3e0,Dynamic,ARPA
Bundle-Ether5002,unassigned,Up,Up,default,,,,,,
Bundle-Ether5004,unassigned,Up,Up,default,,,,,,
Bundle-Ether5005,unassigned,Up,Up,default,,,,,,
Bundle-Ether5006,unassigned,Up,Up,default,,,,,,
Bundle-Ether10001,unassigned,Up,Up,default,,,,,,
Bundle-Ether10002,unassigned,Up,Up,default,,,,,,
Bundle-Ether10003,unassigned,Up,Up,default,,,,,,
Bundle-Ether10004,unassigned,Up,Up,default,,,,,,
Bundle-Ether10005,unassigned,Up,Up,default,,,,,,
Bundle-Ether10006,unassigned,Up,Up,default,,,,,,
Bundle-Ether50000,unassigned,Up,Up,default,,,,,,
Bundle-Ether5002.501,10.203.156.37,Up,Up,IPR30800_FTTH_NMS,,,,,,
Bundle-Ether5002.510,10.203.188.37,Up,Up,IPR30012_NGNSIG,,,,,,
Bundle-Ether5002.515,10.203.220.37,Up,Up,IPR30012_NGNSIG,,,,,,
Bundle-Ether5002.530,unassigned,Up,Up,default,,,,,,
Bundle-Ether5002.539,unassigned,Up,Up,default,,,,,,
Bundle-Ether5002.540,unassigned,Up,Up,default,,,,,,
Bundle-Ether5002.550,unassigned,Up,Up,default,,,,,,
Bundle-Ether5004.501,10.225.12.17,Up,Up,IPR30800_FTTH_NMS,,,,,,
Bundle-Ether5004.510,10.225.44.17,Up,Up,IPR30012_NGNSIG,,,,,,
Bundle-Ether5004.515,10.225.76.17,Up,Up,IPR30012_NGNSIG,,,,,,
Bundle-Ether5004.530,unassigned,Up,Up,default,,,,,,
Bundle-Ether5004.539,unassigned,Up,Up,default,,,,,,
Bundle-Ether5004.540,unassigned,Up,Up,default,,,,,,
Bundle-Ether5004.550,unassigned,Up,Up,default,,,,,,
Bundle-Ether5004.601,10.213.12.25,Up,Up,IPR3135_SECBANK,,,,,,
Bundle-Ether5004.602,10.213.17.225,Up,Up,IPR3157_EXECUTV,,,,,,
Bundle-Ether5004.603,10.213.53.177,Up,Up,IPR3374_LBCXPRS,,,,,,
Bundle-Ether5004.604,10.213.94.249,Up,Up,IPR3042_NBSTORE,,,,,,
Bundle-Ether5004.605,10.213.143.185,Up,Up,IPR3729_HAMMAD,,,,,,
Bundle-Ether5004.606,10.213.167.17,Up,Up,IPR3067_RUSTANS,,,,,,
Bundle-Ether5004.607,10.47.233.21,Up,Up,IPR3175_METBANK,,,,,,
Bundle-Ether5004.608,10.47.238.221,Up,Up,IPR3175_METBANK,,,,,,
Bundle-Ether5005.501,10.225.12.57,Up,Up,IPR30800_FTTH_NMS,,,,,,
Bundle-Ether5005.510,10.225.44.57,Up,Up,IPR30012_NGNSIG,,,,,,
Bundle-Ether5005.515,10.225.76.57,Up,Up,IPR30012_NGNSIG,,,,,,
Bundle-Ether5005.530,unassigned,Up,Up,default,,,,,,
Bundle-Ether5005.539,unassigned,Up,Up,default,,,,,,
Bundle-Ether5005.540,unassigned,Up,Up,default,,,,,,
Bundle-Ether5005.550,unassigned,Up,Up,default,,,,,,
